,time,open,high,low,close,vol
0,2018-03-15 14:07:24,102920.0,102930.0,102900.0,102930.0,304
1,2018-03-15 14:08:00,102930.0,102950.0,102920.0,102940.0,410
2,2018-03-15 14:09:00,102940.0,103020.0,102930.0,103020.0,1872
3,2018-03-15 14:10:00,103020.0,103160.0,103000.0,103120.0,2562
4,2018-03-15 14:11:00,103120.0,103120.0,103080.0,103090.0,724
5,2018-03-15 14:12:00,103090.0,103150.0,103080.0,103090.0,1058
6,2018-03-15 14:13:00,103090.0,103130.0,103080.0,103110.0,1230
7,2018-03-15 14:14:00,103110.0,103110.0,103050.0,103070.0,864
8,2018-03-15 14:15:00,103070.0,103120.0,103070.0,103090.0,718
9,2018-03-15 14:16:00,103090.0,103100.0,103030.0,103070.0,604
10,2018-03-15 14:17:00,103070.0,103080.0,103010.0,103020.0,1014
11,2018-03-15 14:18:00,103020.0,103040.0,103000.0,103020.0,1112
12,2018-03-15 14:19:00,103020.0,103040.0,102990.0,102990.0,878
13,2018-03-15 14:20:00,102990.0,103020.0,102980.0,103020.0,588
14,2018-03-15 14:21:00,103020.0,103050.0,103000.0,103030.0,470
15,2018-03-15 14:22:00,103030.0,103050.0,103010.0,103020.0,278
16,2018-03-15 14:23:00,103020.0,103020.0,102980.0,102980.0,316
17,2018-03-15 14:24:00,102980.0,102980.0,102920.0,102930.0,1050
18,2018-03-15 14:25:00,102940.0,102970.0,102930.0,102940.0,440
19,2018-03-15 14:26:00,102950.0,102970.0,102920.0,102920.0,776
20,2018-03-15 14:27:00,102920.0,102970.0,102910.0,102930.0,718
21,2018-03-15 14:28:00,102930.0,102960.0,102920.0,102960.0,460
22,2018-03-15 14:29:00,102960.0,103010.0,102960.0,102990.0,320
23,2018-03-15 14:30:00,103000.0,103080.0,102980.0,103060.0,932
24,2018-03-15 14:31:00,103080.0,103120.0,103060.0,103090.0,718
25,2018-03-15 14:32:00,103090.0,103130.0,103070.0,103100.0,908
26,2018-03-15 14:33:00,103110.0,103130.0,103090.0,103100.0,380
27,2018-03-15 14:34:00,103100.0,103110.0,103030.0,103050.0,522
28,2018-03-15 14:35:00,103050.0,103060.0,103030.0,103030.0,212
29,2018-03-15 14:36:00,103030.0,103070.0,103030.0,103050.0,232
30,2018-03-15 14:37:00,103050.0,103120.0,103050.0,103110.0,254
31,2018-03-15 14:38:00,103110.0,103120.0,103060.0,103100.0,304
32,2018-03-15 14:39:00,103100.0,103270.0,103080.0,103260.0,2136
33,2018-03-15 14:40:00,103240.0,103260.0,103210.0,103240.0,622
34,2018-03-15 14:41:00,103240.0,103260.0,103220.0,103220.0,870
35,2018-03-15 14:42:00,103220.0,103250.0,103200.0,103230.0,668
36,2018-03-15 14:43:00,103230.0,103230.0,103210.0,103210.0,482
37,2018-03-15 14:44:00,103210.0,103250.0,103200.0,103250.0,526
38,2018-03-15 14:45:00,103240.0,103250.0,103190.0,103210.0,392
39,2018-03-15 14:46:00,103200.0,103250.0,103190.0,103210.0,308
40,2018-03-15 14:47:00,103210.0,103230.0,103190.0,103190.0,394
41,2018-03-15 14:48:00,103190.0,103190.0,103050.0,103050.0,938
42,2018-03-15 14:49:00,103050.0,103090.0,103020.0,103030.0,1014
43,2018-03-15 14:50:00,103030.0,103110.0,103030.0,103080.0,404
44,2018-03-15 14:51:00,103090.0,103110.0,103080.0,103080.0,282
45,2018-03-15 14:52:00,103080.0,103130.0,103080.0,103090.0,360
46,2018-03-15 14:53:00,103090.0,103120.0,103080.0,103110.0,380
47,2018-03-15 14:54:00,103110.0,103130.0,103070.0,103080.0,494
48,2018-03-15 14:55:00,103080.0,103340.0,103080.0,103290.0,2434
49,2018-03-15 14:56:00,103280.0,103330.0,103270.0,103320.0,1144
50,2018-03-15 14:57:00,103320.0,103350.0,103300.0,103310.0,948
51,2018-03-15 14:58:00,103300.0,103330.0,103280.0,103310.0,1130
