,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,72.44355773925781,1847.8399658203125,212.10000610351562,126.4000015258789,205.25,1339.3900146484375,73.4124984741211,1847.8399658203125,212.10000610351562,126.4000015258789,205.25,1339.3900146484375,73.41999816894531,1853.260009765625,213.63999938964844,126.9000015258789,205.55999755859375,1340.6600341796875,72.37999725341797,1832.22998046875,210.72999572753906,124.66999816894531,203.60000610351562,1332.1300048828125,72.48249816894531,1842.0,212.0,125.52999877929688,204.0,1335.7900390625,100805600,2506500,6773600,1863900,8953500,975700
2020-01-02,74.09644317626953,1898.010009765625,219.77000427246094,138.22000122070312,209.77999877929688,1368.6800537109375,75.0875015258789,1898.010009765625,219.77000427246094,138.22000122070312,209.77999877929688,1368.6800537109375,75.1500015258789,1898.010009765625,219.97999572753906,138.63999938964844,209.7899932861328,1368.6800537109375,73.79750061035156,1864.1500244140625,216.5399932861328,129.44000244140625,206.27000427246094,1346.489990234375,74.05999755859375,1875.0,216.60000610351562,129.49000549316406,206.75,1348.4100341796875,135480400,4029000,15873500,8001400,12077100,1363900
2020-01-03,73.37608337402344,1874.969970703125,217.0,133.8000030517578,208.6699981689453,1361.52001953125,74.35749816894531,1874.969970703125,217.0,133.8000030517578,208.6699981689453,1361.52001953125,75.1449966430664,1886.199951171875,218.2030029296875,137.16000366210938,210.39999389648438,1373.75,74.125,1864.5,216.00999450683594,133.77999877929688,206.9499969482422,1347.3199462890625,74.2874984741211,1864.5,216.35000610351562,134.5800018310547,207.2100067138672,1348.0,146322800,3764400,8604500,5184800,11188400,1170400
2020-01-06,73.96076965332031,1902.8800048828125,216.63999938964844,135.94000244140625,212.60000610351562,1397.81005859375,74.94999694824219,1902.8800048828125,216.63999938964844,135.94000244140625,212.60000610351562,1397.81005859375,74.98999786376953,1903.68994140625,217.16000366210938,136.74000549316406,212.77999877929688,1398.3199462890625,73.1875,1860.0,214.08999633789062,132.50999450683594,206.52000427246094,1351.0,73.44750213623047,1860.0,214.88999938964844,132.77999877929688,206.6999969482422,1351.6300048828125,118387200,4061800,11885500,3930700,17058900,2338400
2020-01-07,73.61293029785156,1906.8599853515625,217.6300048828125,136.6999969482422,213.05999755859375,1395.1099853515625,74.59750366210938,1906.8599853515625,217.6300048828125,136.6999969482422,213.05999755859375,1395.1099853515625,75.2249984741211,1913.8900146484375,218.94000244140625,139.47000122070312,214.5800018310547,1403.5,74.37000274658203,1892.0400390625,216.69000244140625,135.39999389648438,211.75,1391.56005859375,74.95999908447266,1904.5,217.63999938964844,138.19000244140625,212.82000732421875,1400.4599609375,108872000,4044900,9388000,4535800,14912400,1716500
2020-01-08,74.79708099365234,1891.969970703125,218.0,137.8300018310547,215.22000122070312,1405.0400390625,75.79750061035156,1891.969970703125,218.0,137.8300018310547,215.22000122070312,1405.0400390625,76.11000061035156,1911.0,220.64999389648438,139.1699981689453,216.24000549316406,1411.8499755859375,74.29000091552734,1886.43994140625,216.32000732421875,135.6999969482422,212.61000061035156,1392.6300048828125,74.29000091552734,1898.0400390625,216.60000610351562,136.74000549316406,213.0,1394.8199462890625,132079200,3508000,11959100,3818900,13475000,1765700
2020-01-09,76.38583374023438,1901.050048828125,221.77999877929688,140.86000061035156,218.3000030517578,1419.7900390625,77.40750122070312,1901.050048828125,221.77999877929688,140.86000061035156,218.3000030517578,1419.7900390625,77.60749816894531,1917.8199462890625,223.0800018310547,142.47999572753906,218.3800048828125,1428.6800537109375,76.55000305175781,1895.800048828125,220.82000732421875,140.02000427246094,216.27999877929688,1410.2099609375,76.80999755859375,1909.8900146484375,221.5,141.0,217.5399932861328,1421.9300537109375,170108400,3167300,13122500,6278800,12642800,1660000
2020-01-10,76.55851745605469,1883.1600341796875,223.8300018310547,144.50999450683594,218.05999755859375,1428.9599609375,77.5824966430664,1883.1600341796875,223.8300018310547,144.50999450683594,218.05999755859375,1428.9599609375,78.1675033569336,1906.93994140625,225.9600067138672,144.75999450683594,219.8800048828125,1434.93994140625,77.0625,1880.0,222.06100463867188,140.86000061035156,217.4199981689453,1419.5999755859375,77.6500015258789,1905.3699951171875,223.89999389648438,142.6199951171875,219.1999969482422,1429.469970703125,140644800,2853700,12296000,6739500,12119400,1312900
2020-01-13,78.19414520263672,1891.300048828125,230.47999572753906,142.25999450683594,221.91000366210938,1440.030029296875,79.23999786376953,1891.300048828125,230.47999572753906,142.25999450683594,221.91000366210938,1440.030029296875,79.26750183105469,1898.0,231.13999938964844,147.3800048828125,221.97000122070312,1441.47998046875,77.7874984741211,1880.800048828125,227.0399932861328,141.75,219.2100067138672,1425.3699951171875,77.91000366210938,1891.31005859375,228.80999755859375,147.0,219.60000610351562,1435.25,121532000,2780800,17544800,6549300,14463400,1536500
2020-01-14,77.13825988769531,1869.43994140625,226.49000549316406,140.0399932861328,219.05999755859375,1430.5899658203125,78.16999816894531,1869.43994140625,226.49000549316406,140.0399932861328,219.05999755859375,1430.5899658203125,79.39250183105469,1887.1099853515625,230.1750030517578,142.1999969482422,222.3800048828125,1442.6300048828125,78.0425033569336,1858.550048828125,224.8800048828125,138.00999450683594,218.6300048828125,1427.77001953125,79.17500305175781,1885.8800048828125,230.0500030517578,140.67999267578125,221.61000061035156,1440.0,161954400,3440900,17266900,4878500,13288900,1303800
2020-01-15,76.80770111083984,1862.02001953125,225.05999755859375,139.39999389648438,221.14999389648438,1439.199951171875,77.83499908447266,1862.02001953125,225.05999755859375,139.39999389648438,221.14999389648438,1439.199951171875,78.875,1878.8599853515625,227.82000732421875,141.1699981689453,221.67999267578125,1440.780029296875,77.38749694824219,1855.0899658203125,224.38999938964844,138.38999938964844,220.13999938964844,1431.6600341796875,77.9625015258789,1872.25,226.64999389648438,139.57000732421875,220.61000061035156,1433.02001953125,121923600,2896600,10743400,3710400,10036500,1077500
2020-01-16,77.76982116699219,1877.93994140625,223.94000244140625,139.49000549316406,221.77000427246094,1450.1600341796875,78.80999755859375,1877.93994140625,223.94000244140625,139.49000549316406,221.77000427246094,1450.1600341796875,78.92500305175781,1885.5899658203125,226.3300018310547,142.6199951171875,222.6300048828125,1450.699951171875,78.02249908447266,1866.02001953125,222.72999572753906,138.8000030517578,220.38999938964844,1440.0,78.39749908447266,1882.989990234375,226.3000030517578,142.61000061035156,222.57000732421875,1445.449951171875,108829200,2659500,13700500,4069900,10015300,1304000
2020-01-17,78.63081359863281,1864.719970703125,227.42999267578125,139.61000061035156,222.13999938964844,1479.52001953125,79.68250274658203,1864.719970703125,227.42999267578125,139.61000061035156,222.13999938964844,1479.52001953125,79.68499755859375,1886.6400146484375,228.0,140.99000549316406,222.2899932861328,1480.550048828125,78.75,1857.25,225.35000610351562,138.35000610351562,220.52999877929688,1456.550048828125,79.06749725341797,1885.8900146484375,225.89999389648438,140.61000061035156,222.02999877929688,1462.5400390625,137816400,3997300,12956200,4232600,15905900,2621200
2020-01-21,78.09793853759766,1892.0,222.25999450683594,137.10000610351562,221.44000244140625,1482.25,79.14250183105469,1892.0,222.25999450683594,137.10000610351562,221.44000244140625,1482.25,79.75499725341797,1894.27001953125,222.60000610351562,139.0,222.3699951171875,1489.8800048828125,79.0,1860.0,220.72999572753906,134.39999389648438,219.1199951171875,1470.2099609375,79.29750061035156,1865.0,222.4499969482422,136.49000549316406,222.16000366210938,1479.0,110843200,3707800,15831100,4090600,14275800,2446500
2020-01-22,78.37671661376953,1887.4599609375,222.3699951171875,134.8000030517578,221.32000732421875,1483.8699951171875,79.42500305175781,1887.4599609375,222.3699951171875,134.8000030517578,221.32000732421875,1483.8699951171875,79.99749755859375,1902.5,225.5800018310547,138.8699951171875,222.75,1500.5799560546875,79.32749938964844,1883.3399658203125,222.0,134.72000122070312,221.27999877929688,1482.6600341796875,79.6449966430664,1896.0899658203125,224.69000244140625,138.5500030517578,222.30999755859375,1489.72998046875,101832400,3216300,10059600,4444000,12212800,1422900
2020-01-23,78.75415802001953,1884.5799560546875,219.1300048828125,134.1999969482422,219.75999450683594,1484.68994140625,79.80750274658203,1884.5799560546875,219.1300048828125,134.1999969482422,219.75999450683594,1484.68994140625,79.88999938964844,1889.97998046875,220.1300048828125,134.3800048828125,221.49000549316406,1493.5,78.9124984741211,1872.760009765625,216.77000427246094,131.1699981689453,219.27000427246094,1480.3199462890625,79.4800033569336,1885.1099853515625,217.92999267578125,132.22000122070312,220.75,1487.550048828125,104472000,2484600,18519900,4153900,11195000,1332500
2020-01-24,78.5271987915039,1861.6400146484375,213.75,130.0,217.94000244140625,1466.1700439453125,79.57749938964844,1861.6400146484375,213.75,130.0,217.94000244140625,1466.1700439453125,80.8324966430664,1894.989990234375,219.8300018310547,134.39999389648438,221.77999877929688,1494.199951171875,79.37999725341797,1847.43994140625,211.3249969482422,128.30999755859375,216.11000061035156,1463.1800537109375,80.0625,1891.3699951171875,218.49000549316406,134.25,220.8000030517578,1492.8199462890625,146537600,3766200,18143900,4309800,11905800,1489300
