Date,Open,High,Low,Close,Adj Close,Volume,name
2020-01-02,52.44444274902344,53.5555534362793,51.5555534362793,52.98222351074219,52.807132720947266,3989621,300747.SZ
2020-01-03,52.98222351074219,53.22222137451172,51.24444580078125,51.78666687011719,51.61552810668945,3933135,300747.SZ
2020-01-06,51.1422233581543,53.86666488647461,50.68000030517578,52.14666748046875,51.97433853149414,6204991,300747.SZ
2020-01-07,52.400001525878906,53.11555480957031,51.5555534362793,52.17777633666992,52.00534439086914,3765795,300747.SZ
2020-01-08,51.5555534362793,53.04888916015625,50.844444274902344,51.61333465576172,51.44276809692383,3067490,300747.SZ
2020-01-09,52.08888626098633,53.328887939453125,51.6533317565918,53.06666564941406,52.89129638671875,3680320,300747.SZ
2020-01-10,52.671112060546875,54.88888931274414,52.377777099609375,53.0533332824707,52.87800598144531,3682275,300747.SZ
2020-01-13,53.33333206176758,54.57777786254883,52.155555725097656,54.14666748046875,53.96772766113281,5197018,300747.SZ
2020-01-14,54.14666748046875,54.88888931274414,53.17777633666992,53.2400016784668,53.06406021118164,3384492,300747.SZ
2020-01-15,53.2400016784668,54.119998931884766,52.56888961791992,52.88888931274414,52.714107513427734,2472230,300747.SZ
2020-01-16,53.77333450317383,55.5555534362793,53.022220611572266,54.49777603149414,54.31767654418945,3911562,300747.SZ
2020-01-17,54.622222900390625,54.622222900390625,52.342220306396484,52.666664123535156,52.492618560791016,4239027,300747.SZ
2020-01-20,52.78666687011719,54.44444274902344,52.0,52.31999969482422,52.147098541259766,6011775,300747.SZ
2020-01-21,52.45333480834961,52.75555419921875,49.33333206176758,49.733333587646484,49.5689811706543,9729499,300747.SZ
2020-01-22,48.40444564819336,49.72444534301758,48.168888092041016,49.413333892822266,49.250038146972656,6435659,300747.SZ
2020-01-23,48.88888931274414,49.11111068725586,44.47111129760742,45.28888702392578,45.13922119140625,9920101,300747.SZ
